Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,136.144,-70.358,-90.0,top
C2,1uF,C_0603_1608Metric,145.034,-71.374,0.0,top
C3,1uF,C_0603_1608Metric,144.272,-79.756,-90.0,top
C4,1uF,C_0603_1608Metric,144.272,-74.168,-90.0,top
C5,1uF,C_0603_1608Metric,122.936,-69.596,0.0,top
C6,1uF,C_0603_1608Metric,143.256,-101.854,0.0,top
C7,1uF,C_0603_1608Metric,138.684,-86.614,90.0,top
C8,1uF,C_0603_1608Metric,144.272,-98.806,-90.0,top
D1,MMSD914,D_SOD-123,131.826,-92.456,0.0,top
D2,MMSD914,D_SOD-123,135.255,-95.885,0.0,top
D3,LED,LED_0805_2012Metric,122.174,-77.724,180.0,top
D4,LED,LED_0805_2012Metric,122.174,-84.328,180.0,top
D5,LED,LED_0805_2012Metric,122.174,-91.186,180.0,top
D6,LED,LED_0805_2012Metric,122.174,-98.044,180.0,top
J1,Arduino Analog,PinSocket_1x12_P2.54mm_Vertical,141.63,-71.12,0.0,top
J2,Arduino Digital,PinSocket_1x12_P2.54mm_Vertical,126.39,-71.14,0.0,top
J9,Extra analog 1,PinSocket_1x02_P2.54mm_Vertical,138.963,-82.53,180.0,top
Q1,AO3401A,SOT-23,134.112,-85.725,90.0,top
Q2,MMBT3904,SOT-23,130.302,-85.725,90.0,top
Q3,MMBT3904,SOT-23,134.874,-73.66,180.0,top
R1,100K,R_0603_1608Metric,137.795,-90.17,0.0,top
R2,100K,R_0603_1608Metric,134.62,-90.17,180.0,top
R3,10K,R_0603_1608Metric,136.08,-92.456,180.0,top
R5,100K,R_0603_1608Metric,131.318,-90.17,0.0,top
R6,220,R_0603_1608Metric,131.064,-95.885,0.0,top
R7,220,R_0603_1608Metric,122.174,-75.692,0.0,top
R8,220,R_0603_1608Metric,122.174,-82.296,0.0,top
R9,220,R_0603_1608Metric,122.174,-89.154,0.0,top
R10,220,R_0603_1608Metric,122.174,-96.012,0.0,top
R11,1K,R_0603_1608Metric,137.795,-76.2,90.0,top
R12,100K,R_0603_1608Metric,144.272,-86.36,90.0,top
R13,6.8K,R_0603_1608Metric,144.272,-83.185,90.0,top
R14,100K,R_0603_1608Metric,144.272,-92.71,-90.0,top
SW1,SW_Push,SW_SPST_PTS645,140.97,-107.95,90.0,top
