Comment,Designator,Footprint,LCSC,Quantity
TPS61085DGK,U4,VSSOP-8_3x3mm_P0.65mm,C113659,1
1K,"R11,R16,RT1",R_0402_1005Metric,C11702,3
10uF,"C11,C13,C14,C6,C8",CP_EIA-3216-10_Kemet-I,C119051,5
4.7uF,"C10,C9",CP_EIA-3216-10_Kemet-I,C123256,2
MCP73871-2AA,U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C144351,1
MMBT3904,"Q2,Q3",SOT-23,C20526,2
MMSD914,"D1,D2",D_SOD-123,C21508,2
220,R6,R_0402_1005Metric,C25091,1
470,"R15,R4,R7",R_0402_1005Metric,C25117,3
100K,"R1,R12,R14,R2,R5",R_0402_1005Metric,C25741,5
10K,"R17,R3",R_0402_1005Metric,C25744,2
18.2K,R18,R_0402_1005Metric,C25859,1
27K,R20,R_0402_1005Metric,C284471,1
MIC5219-3.3YM5,U5,SOT-23-5,C29613,1
100nF,C16,C_0402_1005Metric,C307331,1
SW_Push,SW1,SW_SPST_PTS645,C393947,1
6.8K,R13,R_0402_1005Metric,C407725,1
150K,RT2,R_0402_1005Metric,C407748,1
D_Schottky,D9,D_SOD-523,C413992,1
1.6nF,C7,C_0603_1608Metric,C437532,1
68K,R19,R_0402_1005Metric,C482226,1
1uF,"C12,C15",C_0402_1005Metric,C52923,2
3.3uH,L1,L_Cenker_CKCS201610,C696469,1
10K,TH1,R_0402_1005Metric,C700818,1
AO3401A,Q1,SOT-23,C700954,1
LED,"D3,D7,D8",LED_0805_2012Metric,C84256,3
WS2812B,"D10,D4,D5,D6",LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555,4
E28-2G4M12S,U1,E28-2G4M12S,,1
Battery,J1,PinHeader_1x02_P2.00mm_Vertical,,1
VIN,J6,SolderWirePad_1x02_SMD_1x2mm,,1
HALL1/PPM,J3,SolderWirePad_1x03_SMD_1x2mm,,1
HALL2,J4,SolderWirePad_1x03_SMD_1x2mm,,1
Motor,J8,SolderWirePad_1x02_SMD_1x2mm,,1
ESP32-C3_SUPERMINI,U3,MODULE_ESP32-C3_SUPERMINI,,1
