Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,4.7uF,CP_EIA-3216-10_Kemet-I,137.1,-75.0,0.0,top
C11,10uF,CP_EIA-3216-10_Kemet-I,136.4,-85.5,0.0,top
C12,1uF,C_0402_1005Metric,132.8,-78.2,0.0,top
C13,10uF,CP_EIA-3216-10_Kemet-I,129.4,-78.8,180.0,top
C14,10uF,CP_EIA-3216-10_Kemet-I,122.9,-89.1,-90.0,top
C15,1uF,C_0402_1005Metric,130.4,-85.5,180.0,top
C16,100nF,C_0402_1005Metric,130.4,-86.5,180.0,top
C6,10uF,CP_EIA-3216-10_Kemet-I,136.4,-87.8,0.0,top
C7,1.6nF,C_0603_1608Metric,136.1,-76.9,180.0,top
C8,10uF,CP_EIA-3216-10_Kemet-I,138.43,-71.374,90.0,top
C9,4.7uF,CP_EIA-3216-10_Kemet-I,128.2,-73.3,90.0,top
D1,MMSD914,D_SOD-123,127.5,-94.4,90.0,top
D10,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.35,-66.785,-90.0,top
D2,MMSD914,D_SOD-123,139.5,-91.8,90.0,top
D3,LED,LED_0805_2012Metric,133.6,-66.5,-90.0,top
D4,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.35,-76.085,-90.0,top
D5,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.35,-72.985,-90.0,top
D6,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.35,-69.885,-90.0,top
D7,LED,LED_0805_2012Metric,129.3,-66.5,-90.0,top
D8,LED,LED_0805_2012Metric,131.426998,-66.5,-90.0,top
D9,D_Schottky,D_SOD-523,132.7,-85.2,0.0,top
J1,Battery,PinHeader_1x02_P2.00mm_Vertical,132.0,-75.9,90.0,top
L1,3.3uH,L_Cenker_CKCS201610,132.4,-82.2,-90.0,top
Q1,AO3401A,SOT-23,126.699999,-86.6,180.0,top
Q2,MMBT3904,SOT-23,126.799999,-90.1,180.0,top
Q3,MMBT3904,SOT-23,140.9,-86.6,0.0,top
R1,100K,R_0402_1005Metric,129.89,-90.0,0.0,top
R11,1K,R_0402_1005Metric,138.6,-82.9,-90.0,top
R12,100K,R_0402_1005Metric,128.7,-76.708,-90.0,top
R13,6.8K,R_0402_1005Metric,127.6,-76.7,90.0,top
R14,100K,R_0402_1005Metric,129.89,-92.0,180.0,top
R15,470,R_0402_1005Metric,136.6,-67.1,90.0,top
R16,1K,R_0402_1005Metric,128.1,-70.3,0.0,top
R17,10K,R_0402_1005Metric,128.1,-69.2,0.0,top
R18,18.2K,R_0402_1005Metric,138.6,-78.8,-90.0,top
R19,68K,R_0402_1005Metric,138.6,-80.8,-90.0,top
R2,100K,R_0402_1005Metric,129.89,-87.8,180.0,top
R20,27K,R_0402_1005Metric,138.6,-77.1,0.0,top
R3,10K,R_0402_1005Metric,129.89,-88.9,180.0,top
R4,470,R_0402_1005Metric,137.8,-67.1,90.0,top
R5,100K,R_0402_1005Metric,129.9,-94.2,0.0,top
R6,220,R_0402_1005Metric,129.89,-93.1,0.0,top
R7,470,R_0402_1005Metric,135.4,-67.1,90.0,top
RT1,1K,R_0402_1005Metric,136.3,-69.5,180.0,top
RT2,150K,R_0402_1005Metric,136.3,-71.7,180.0,top
SW1,SW_Push,SW_SPST_PTS645,134.8,-94.2,90.0,top
TH1,10K,R_0402_1005Metric,136.3,-70.6,180.0,top
U2,MCP73871-2AA,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,132.1,-71.4375,180.0,top
U3,ESP32-C3_SUPERMINI,MODULE_ESP32-C3_SUPERMINI,133.096,-74.57,0.0,bottom
U4,TPS61085DGK,VSSOP-8_3x3mm_P0.65mm,136.0,-80.9,-90.0,top
U5,MIC5219-3.3YM5,SOT-23-5,128.8,-82.0,-90.0,top
